ID,Cuerpo de Bomberos,URL,Logo Path,RUT,Numero de Socio,Fecha de Fundacion,Direccion,Telefono,Superintendente,Comandante,Numero de Companias,status
1,Arica,https://app.bomberos.cl/info_crpo_web/?id=1,logos/1_Arica.jpg,70.015.040-2,60,12-04-1912,Vicuña Mackenna 802,(9) 51511816,Juan Carlos Maldonado Sepúlveda,Patricio Andres Melgarejo Aranibar,9,desde_app_bomberos
2,Iquique,https://app.bomberos.cl/info_crpo_web/?id=2,logos/2_Iquique.jpg,81.816.400-9,12,07-10-1875,Bolívar 414,(57) 413166- 423124,Marcelo Paul Zúñiga Schampke,Jorge Andres Medina Villegas,10,desde_app_bomberos
3,Pica,https://app.bomberos.cl/info_crpo_web/?id=3,logos/3_Pica.jpg,70.916.000-1,256,17-10-1978,Barboza S/n,(57) 2741377,Fernando Javier Chacon Beltran,Pablo Andres Alarcon Alarcon,2,desde_app_bomberos
4,Pozo Almonte,https://app.bomberos.cl/info_crpo_web/?id=4,logos/4_Pozo Almonte.png,71.104.900-2,260,15-03-1981,Aldunate 650,(57) 752325,Efrain Alejandro Lillo Barraza,Cristian Gerald Loo Marin,5,desde_app_bomberos
5,Huara,https://app.bomberos.cl/info_crpo_web/?id=5,logos/5_Huara.png,75.999.380-2,284,30-04-1999,Eleuterio Ramirez S/n,(57) 2 752550,Boris Enzo Manzoni Ibarra,Cristian Alexi Ramirez Rojas,2,desde_app_bomberos
6,Antofagasta,https://app.bomberos.cl/info_crpo_web/?id=6,logos/6_Antofagasta.png,81.809.500-7,11,05-04-1875,Antonio José de Sucre 545,55 2 891354,Daniel Mauricio Bugueño Cabrera,Alfonso Nolberto Olivera Espinoza,9,desde_app_bomberos
7,Calama,https://app.bomberos.cl/info_crpo_web/?id=7,logos/7_Calama.png,71.350.200-6,47,04-06-1907,Sotomayor 1862,(55) 563602,Francisco José Barrios Casas,Alberto Teobaldo Pereira Bravo,5,desde_app_bomberos
8,Mejillones,https://app.bomberos.cl/info_crpo_web/?id=8,logos/8_Mejillones.jpg,70.010.500-8,67,17-12-1921,Almirante Latorre 511,552621591 - 552622060,Jayro Arriagada Montecinos,Reinaldo Florencio Figueroa Rodriguez,3,desde_app_bomberos
9,Tal Tal,https://app.bomberos.cl/info_crpo_web/?id=9,logos/9_Tal Tal.jpg,81.889.300-0,17,12-03-1882,Ramírez 150,(55) 611065,Mario Antonio González Rojas,Hector Antonio Trujillo Astudillo,2,desde_app_bomberos
10,Caldera,https://app.bomberos.cl/info_crpo_web/?id=10,logos/10_Caldera.gif,82.190.200-2,22,14-03-1885,Ossa Cerda 370,(52) 315269,Leyla Maria Tala Urzua,Marco Antonio Gonzalez Alvarez,3,desde_app_bomberos
11,Copiapó,https://app.bomberos.cl/info_crpo_web/?id=11,logos/11_Copiapó.jpeg,82.189.900-1,6,12-07-1868,Atacama 461,(52) 212525 - 212435,Alejandro Andres Veliz Espinoza,Cristian Guillermo Poblete Gonzalez,7,desde_app_bomberos
12,Chañaral,https://app.bomberos.cl/info_crpo_web/?id=12,logos/12_Chañaral.png,70.970.600-4,14,08-12-1878,Merino Jarpa 570,(52) 480198,Michael Alexander Ramirez Castro,Jonathan Fred Arévalo Lai,3,desde_app_bomberos
13,Freirina,https://app.bomberos.cl/info_crpo_web/?id=13,logos/13_Freirina.jpeg,70.333.700-7,152,01-03-1953,"Atacama 737, centro",(51) 518711,Eduardo Alejandro Gallardo Herrera,Favian Enrique Gonzalez Araya,2,desde_app_bomberos
14,Huasco,https://app.bomberos.cl/info_crpo_web/?id=14,logos/14_Huasco.jpg,70.463.400-5,183,18-02-1961,Latorre 346,+56512531017,Cristian Alejandro Heredia Collao,Claudio Felipe Cereceda Cereceda,3,desde_app_bomberos
15,Inca de Oro,https://app.bomberos.cl/info_crpo_web/?id=15,logos/15_Inca de Oro.jpg,65.124.390-4,105,20-08-1940,"Francisco San Román 507, INCA DE ORO",9-63974693,Cristian Arturo Campillay Briones,Pablo Jimmy Rojo Diaz,1,desde_app_bomberos
16,Tierra Amarilla,https://app.bomberos.cl/info_crpo_web/?id=16,logos/16_Tierra Amarilla.jpg,71.146.700-9,236,25-02-1971,Miguel Lemur 505,(52) 320237,Pedro Leonelo Alfaro Aguilera,Jaime Andrés Castillo Véliz,2,desde_app_bomberos
17,Vallenar,https://app.bomberos.cl/info_crpo_web/?id=17,logos/17_Vallenar.png,82.734.300-5,131,21-05-1947,"Ramírez 1198, centro",(51) 614132,Wilson Eduardo Soto Núñez,Cristopher Gary Rojas Ramirez,7,desde_app_bomberos
18,Andacollo,https://app.bomberos.cl/info_crpo_web/?id=18,logos/18_Andacollo.png,70.009.200-3,226,11-06-1968,"Luis Miranda Ansieta S/n, Centro",(51) 2431635,Carlos Marin Araya,Wilfredo Javier Ochoa Cortes,3,desde_app_bomberos
19,Combarbalá,https://app.bomberos.cl/info_crpo_web/?id=19,logos/19_Combarbalá.jpg,70.010.400-1,104,16-08-1940,"Maipú 311, centro urbano",532741020,Manuel Eduardo Castillo Castillo,Gilberto Antonio Castillo Vergara,6,desde_app_bomberos
20,Coquimbo,https://app.bomberos.cl/info_crpo_web/?id=20,logos/20_Coquimbo.jpg,81.939.600-0,13,25-06-1878,"Aníbal Pinto 1298, sECTOR CENTRO",(51)2 312342 -2311371,Exequiel Heriberto Martinez Torres,Juan Manuel Collao Pizarro,12,desde_app_bomberos
21,Coihueco,https://app.bomberos.cl/info_crpo_web/?id=21,logos/21_Coihueco.jpg,70.789.500-4,249,20-02-1976,Luis Hermosilla 1432,422471003,Ramón Luis Garrido Córdova,Axel Ignacio Cofre Pino,6,desde_app_bomberos
22,Concepción,https://app.bomberos.cl/info_crpo_web/?id=22,logos/22_Concepción.png,81.891.700-7,19,13-04-1883,Orompello 136,(41) 2225051,Werner Heinz Hohf Cartes,Felipe Antonio Meneses Villarroel,10,desde_app_bomberos
23,Contulmo,https://app.bomberos.cl/info_crpo_web/?id=23,logos/23_Contulmo.jpg,82.182.900-3,213,06-10-1966,"Los Tilos 552, CENTRO",(41) 2618060 - 2618147,Armando Baldemar Escobar Caamaño,Rolando Andres Galvez Escobar,2,desde_app_bomberos
24,Coronel,https://app.bomberos.cl/info_crpo_web/?id=24,logos/24_Coronel.png,70.010.100-2,41,08-08-1904,"Eleuterio Ramírez 10, Lo Rojas",(41) 2774062,Eduardo Felipe Monsálvez Núñez,Jaime Rodrigo Seguel Allen,9,desde_app_bomberos
